20.5,22.0
116.0,22.0
211.0,22.0
307.0,22.0
403.0,22.0
495.056399132321,25.058568329718003
430.0462962962963,93.15432098765432
20.5,112.5
497.5,112.5
367.2090909090909,158.75757575757575
20.526315789473685,202.52631578947367
497.5263157894737,202.52631578947367
304.3394495412844,224.61162079510703
241.47852760736197,290.1503067484663
20.5,293.5
497.5,293.5
178.59459459459458,356.01801801801804
20.55,384.0
497.55,384.0
115.73636363636363,421.93939393939394
20.5,474.5
497.5,474.5
52.874251497005986,487.5239520958084
29.473684210526315,529.5263157894736
118.52631578947368,529.5263157894736
208.47368421052633,529.5263157894736
297.5263157894737,529.5263157894736
387.0,529.5
484.60380348652933,534.662440570523
20.5,565.5
497.5,565.5
429.72222222222223,603.7592592592592
20.5,655.5
497.5,655.5
366.4872611464968,667.5700636942676
303.20668693009117,731.3647416413373
20.5,746.5
497.5,746.5
239.88785046728972,795.2118380062306
20.5,836.5
497.5,836.5
176.60298507462687,858.9910447761195
113.27777777777777,922.7592592592592
20.5,927.5
497.5,927.5
50.03582089552239,986.5014925373134
20.5,1017.5
116.0,1017.5
211.0,1017.5
307.0,1017.5
402.9736070381232,1017.524926686217
497.5,1017.5
